# energy mu normalized_energy pre_edge post_edge
8.736094999999999345e+03 4.060899000000000036e-01 8.736094999999999345e+03 4.067242650341735821e-01 3.303402389213022872e+00
8.741333000000000538e+03 4.054607000000000072e-01 8.741333000000000538e+03 4.059350019567942169e-01 3.298799317228299444e+00
8.746575999999999112e+03 4.047493999999999814e-01 8.746575999999999112e+03 4.051449854782338544e-01 3.294191851322247899e+00
8.751824000000000524e+03 4.040345000000000186e-01 8.751824000000000524e+03 4.043542155984918285e-01 3.289579991494864686e+00
8.757075000000000728e+03 4.033779000000000114e-01 8.757075000000000728e+03 4.035629936780416038e-01 3.284965495314685846e+00
8.757206000000000131e+03 4.033448000000000033e-01 8.757206000000000131e+03 4.035432545670953886e-01 3.284850374575854381e+00
8.757468000000000757e+03 4.033008000000000148e-01 8.757468000000000757e+03 4.035037763452025139e-01 3.284620133098191452e+00
8.757730999999999767e+03 4.031909000000000187e-01 8.757730999999999767e+03 4.034641474430740171e-01 3.284389012836263610e+00
8.757994000000000597e+03 4.032324999999999937e-01 8.757994000000000597e+03 4.034245185409450762e-01 3.284157892574333992e+00
8.758255999999999403e+03 4.032324999999999937e-01 8.758255999999999403e+03 4.033850403190526457e-01 3.283927651096672840e+00
8.758521000000000640e+03 4.031056000000000084e-01 8.758521000000000640e+03 4.033451100564511282e-01 3.283694773266210731e+00
8.758781999999999243e+03 4.031665999999999861e-01 8.758781999999999243e+03 4.033057825147949860e-01 3.283465410572815379e+00
8.759045000000000073e+03 4.031228000000000034e-01 8.759045000000000073e+03 4.032661536126660451e-01 3.283234290310885761e+00
8.759308000000000902e+03 4.030715999999999744e-01 8.759308000000000902e+03 4.032265247105371042e-01 3.283003170048957031e+00
8.759569999999999709e+03 4.029079999999999884e-01 8.759569999999999709e+03 4.031870464886446737e-01 3.282772928571294990e+00
8.759833000000000538e+03 4.029009000000000063e-01 8.759833000000000538e+03 4.031474175865157328e-01 3.282541808309365372e+00
8.760095999999999549e+03 4.029179999999999984e-01 8.760095999999999549e+03 4.031077886843870139e-01 3.282310688047438418e+00
8.760359000000000378e+03 4.028521999999999936e-01 8.760359000000000378e+03 4.030681597822580731e-01 3.282079567785508800e+00
8.760620999999999185e+03 4.028936000000000184e-01 8.760620999999999185e+03 4.030286815603656425e-01 3.281849326307846759e+00
8.760885000000000218e+03 4.027766999999999875e-01 8.760885000000000218e+03 4.029889019780004134e-01 3.281617327261651340e+00
8.761147000000000844e+03 4.027692999999999968e-01 8.761147000000000844e+03 4.029494237561077608e-01 3.281387085783988411e+00
8.761409999999999854e+03 4.027181000000000233e-01 8.761409999999999854e+03 4.029097948539790419e-01 3.281155965522060569e+00
8.761674000000000888e+03 4.026841999999999921e-01 8.761674000000000888e+03 4.028700152716138128e-01 3.280923966475865150e+00
8.761934999999999491e+03 4.027011999999999814e-01 8.761934999999999491e+03 4.028306877299576705e-01 3.280694603782469798e+00
8.762199000000000524e+03 4.026602000000000237e-01 8.762199000000000524e+03 4.027909081475924413e-01 3.280462604736274379e+00
8.762460999999999331e+03 4.026016000000000039e-01 8.762460999999999331e+03 4.027514299257000108e-01 3.280232363258612338e+00
8.762725000000000364e+03 4.025408999999999793e-01 8.762725000000000364e+03 4.027116503433347816e-01 3.280000364212416919e+00
8.762986999999999171e+03 4.024825000000000208e-01 8.762986999999999171e+03 4.026721721214425731e-01 3.279770122734755766e+00
8.763250000000000000e+03 4.024654999999999760e-01 8.763250000000000000e+03 4.026325432193136322e-01 3.279539002472826148e+00
8.763513000000000829e+03 4.024218999999999991e-01 8.763513000000000829e+03 4.025929143171846913e-01 3.279307882210896530e+00
8.763774999999999636e+03 4.022929000000000088e-01 8.763774999999999636e+03 4.025534360952922608e-01 3.279077640733235377e+00
8.764039000000000669e+03 4.023005000000000053e-01 8.764039000000000669e+03 4.025136565129270316e-01 3.278845641687039958e+00
8.764301999999999680e+03 4.023663000000000101e-01 8.764301999999999680e+03 4.024740276107983128e-01 3.278614521425112116e+00
8.764564000000000306e+03 4.022303999999999879e-01 8.764564000000000306e+03 4.024345493889056602e-01 3.278384279947448299e+00
8.764826999999999316e+03 4.022985000000000033e-01 8.764826999999999316e+03 4.023949204867769414e-01 3.278153159685520457e+00
